"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
ÍßËÉ£¨Orostachyis Fimbriatae Herba£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Î¯Áê²Ë£¨Chinese Cinquefoil£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Î÷ºì»¨£¨Safflower£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ïã¸½£¨Nutgrass Galingale Rhizome£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÏãÞ¸£¨Chinese Mosla£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ðý¸²»¨£¨Inula Flower£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÒæÄ¸²Ý£¨Motherwort Herb£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÒøÐÓÒ¶£¨Ginkgo Leaf£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Óà¸Ê×Ó(Emblic Leafflower Fruit),MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÓôÀîÈÊ£¨Chinese Dwarf Cherry Seed£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ü¾»¨£¨Lilac Daphne Flower Bud£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÔÂ¼¾»¨£¨Chinese Rose Flower£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÔóÆá£¨Herba Euphorbiae Helioscopiae£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÖªÄ¸£¨Common Anemarrhena Rhizome£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
èÙ×Ó(Cape Jasmine Fruit),MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
»ÆÒ©×Ó(Air Potato),MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
µØ¶ú²Ý£¨Herba Hyperici Japonici£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
¹áÖÚ£¨Shield-fern Rhizome£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
