,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
6341,µ¹¿Û²Ý,MOL008316,682.26,13.31,5,6,13.99,0.16,-0.92,0.31,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
6342,µ¹¿Û²Ý,MOL008317,304.57,8.44,1,1,13.93,1.65,1.48,0.21,0.23,,FALSE,TRUE,TRUE,TRUE,FALSE
30457,ÒøÐÓÒ¶,MOL008317,304.57,8.44,1,1,13.93,1.65,1.48,0.21,0.23,,FALSE,TRUE,TRUE,TRUE,FALSE
6630,°«µØ²è,MOL008318,"1,075.39",-1.31,12,22,5.57,-3.88,-5.05,0.02,0.23,,FALSE,FALSE,FALSE,TRUE,FALSE
180,°«µØ²è,MOL008318,"1,075.39",-1.31,12,22,5.57,-3.88,-5.05,0.02,0.23,,FALSE,FALSE,FALSE,TRUE,FALSE
6343,µ¹¿Û²Ý,MOL008318,"1,075.39",-1.31,12,22,5.57,-3.88,-5.05,0.02,0.23,,FALSE,FALSE,FALSE,TRUE,FALSE
6345,µ¹¿Û²Ý,MOL008320,480.71,1,6,7,6.94,-1.38,-1.93,0.82,0.26,,FALSE,FALSE,TRUE,TRUE,FALSE
20109,ÄÏ¹Ï×Ó,MOL008330,126.22,1.96,1,1,18.67,1.18,1.18,0.01,0.3,,FALSE,TRUE,FALSE,TRUE,FALSE
31615,Ü¾Ý´,MOL008343,140.25,3.2,0,1,21.1,1.34,1.65,0.02,0.29,,FALSE,TRUE,FALSE,TRUE,FALSE
5551,´óËâ,MOL008347,170.37,2.38,0,0,8.44,1.53,1.77,0.01,0.52,,FALSE,TRUE,FALSE,TRUE,FALSE
5552,´óËâ,MOL008348,106.23,1.27,0,0,22.85,1.78,2.13,0,0.43,,FALSE,TRUE,FALSE,TRUE,FALSE
5553,´óËâ,MOL008349,118.59,2.16,0,0,12.16,1.68,1.9,0.01,0.28,,FALSE,TRUE,FALSE,TRUE,FALSE
5557,´óËâ,MOL008353,112.21,1.39,0,0,19.63,1.65,1.91,0.01,0.43,,FALSE,TRUE,FALSE,TRUE,FALSE
5325,´Ð°×,MOL008355,74.16,1.23,0,0,21.88,1.47,1.65,0,0.49,,FALSE,TRUE,FALSE,TRUE,FALSE
5559,´óËâ,MOL008355,74.16,1.23,0,0,21.88,1.47,1.65,0,0.49,,FALSE,TRUE,FALSE,TRUE,FALSE
5561,´óËâ,MOL008357,138.3,1.79,0,0,9.97,1.26,1.44,0.01,0.49,,FALSE,TRUE,FALSE,TRUE,FALSE
5564,´óËâ,MOL008360,106.23,1.21,0,0,7.63,1.4,1.63,0,0.38,,FALSE,TRUE,FALSE,TRUE,FALSE
5566,´óËâ,MOL008362,184.4,3.18,0,0,9.29,1.92,2.14,0.01,0.59,,FALSE,TRUE,FALSE,TRUE,FALSE
5567,´óËâ,MOL008363,152.33,2.59,0,0,23.2,1.92,2.19,0,0.54,,FALSE,TRUE,FALSE,TRUE,FALSE
5570,´óËâ,MOL008366,"1,261.53",-5.58,19,30,7.6,-5.87,-7.05,0.01,0.21,,FALSE,FALSE,FALSE,TRUE,FALSE
5571,´óËâ,MOL008367,450.73,3.15,4,5,9.9,-0.42,-1.03,0.85,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
5575,´óËâ,MOL008371,144.28,1.98,0,0,9.39,1.48,1.7,0.01,0.5,,FALSE,TRUE,FALSE,TRUE,FALSE
6234,µ³²Î,MOL008376,256.48,6.16,1,2,24.14,1.09,0.85,0.1,0.2,,FALSE,TRUE,FALSE,TRUE,FALSE
6235,µ³²Î,MOL008377,448.41,0.16,7,11,2.7,-1.5,-2.47,0.79,0.34,,FALSE,FALSE,TRUE,TRUE,FALSE
16208,Á«×ÓÐÄ,MOL008377,448.41,0.16,7,11,2.7,-1.5,-2.47,0.79,0.34,,FALSE,FALSE,TRUE,TRUE,FALSE
6237,µ³²Î,MOL008379,678.71,-2.37,9,18,4.93,-2.8,-3.82,0.47,0,,FALSE,FALSE,TRUE,TRUE,FALSE
6238,µ³²Î,MOL008380,354.39,1.29,3,8,23.58,-0.3,-0.73,0.3,0,,FALSE,TRUE,TRUE,TRUE,FALSE
6239,µ³²Î,MOL008381,726.8,-0.27,9,17,8.75,-2.29,-3.46,0.46,0,,FALSE,FALSE,TRUE,TRUE,FALSE
6240,µ³²Î,MOL008382,402.48,3.54,3,7,4.98,0.35,-0.77,0.45,0,,FALSE,TRUE,TRUE,TRUE,FALSE
6241,µ³²Î,MOL008383,"1,033.10",-2.13,13,26,3.01,-4.15,-5.96,0.15,0,,FALSE,FALSE,FALSE,TRUE,FALSE
6242,µ³²Î,MOL008384,546.62,3.43,4,11,4.28,0.1,-1.35,0.67,0,,FALSE,TRUE,TRUE,TRUE,FALSE
6244,µ³²Î,MOL008386,140.25,2.5,1,1,23.77,1.21,1.18,0.02,0.25,,FALSE,TRUE,FALSE,TRUE,FALSE
6245,µ³²Î,MOL008387,181.25,3.81,1,0,20.14,1.87,1.83,0.09,0.29,,FALSE,TRUE,FALSE,TRUE,FALSE
22773,ÈâÜÊÈØ,MOL008389,202.32,2.89,1,1,25.07,1.27,1.3,0.09,0.32,,FALSE,TRUE,FALSE,TRUE,FALSE
6247,µ³²Î,MOL008389,202.32,2.89,1,1,25.07,1.27,1.3,0.09,0.32,,FALSE,TRUE,FALSE,TRUE,FALSE
6248,µ³²Î,MOL008390,438.55,6.95,3,4,11.33,1,0.07,0.66,0.32,,FALSE,TRUE,TRUE,TRUE,FALSE
6250,µ³²Î,MOL008392,550.7,7.39,4,8,8.93,1.08,0.25,0.86,0.2,,FALSE,TRUE,TRUE,TRUE,FALSE
6254,µ³²Î,MOL008396,300.33,3.12,2,5,21.68,0.84,0.11,0.42,0.24,,FALSE,TRUE,TRUE,TRUE,FALSE
6256,µ³²Î,MOL008398,350.3,2.13,5,9,2.27,-0.58,-1.23,0.31,0.4,,FALSE,FALSE,TRUE,TRUE,FALSE
6257,µ³²Î,MOL008399,324.98,4.93,1,1,15.01,1.33,1.28,0.34,0.3,,FALSE,TRUE,TRUE,TRUE,FALSE
33242,×ÏÝÒ,MOL008399,324.98,4.93,1,1,15.01,1.33,1.28,0.34,0.3,,FALSE,TRUE,TRUE,TRUE,FALSE
19712,Ä¾ºûµû,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
22774,ÈâÜÊÈØ,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
6259,µ³²Î,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
1864,°ÙºÏ,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
20470,Å£Ýò×Ó,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
21977,Ç¼»î,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
23924,É£Ò¶,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
28993,Ð¡ÜîÏã,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
33140,×ÏËÕ×Ó,MOL008401,326.63,8.65,1,2,16.14,1.15,0.69,0.23,0.18,,FALSE,TRUE,TRUE,TRUE,FALSE
6260,µ³²Î,MOL008402,264.36,0.14,4,6,15.6,-0.72,-1.12,0.11,0,,FALSE,FALSE,FALSE,TRUE,FALSE
6261,µ³²Î,MOL008403,426.52,-1.61,7,11,6.51,-2.03,-2.67,0.44,0,,FALSE,FALSE,TRUE,TRUE,FALSE
6263,µ³²Î,MOL008405,338.39,1.44,1,7,17.38,-0.31,-0.86,0.35,0.38,,FALSE,TRUE,TRUE,TRUE,FALSE
6266,µ³²Î,MOL008408,588.95,9.87,1,4,24.53,1.16,0.3,0.55,0.26,,FALSE,TRUE,TRUE,TRUE,FALSE
6267,µ³²Î,MOL008409,372.41,-0.33,5,9,19.5,-0.99,-1.65,0.32,0,,FALSE,FALSE,TRUE,TRUE,FALSE
6270,µ³²Î,MOL008412,410.75,7.31,0,1,11.42,1.44,1.21,0.76,0.23,,FALSE,TRUE,TRUE,TRUE,FALSE
